Tahun,Provinsi,Jumlah Penduduk (ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Persentase Laki-laki,Persentase Perempuan,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Informal,APS 7-12(SD),APS 13-15(SMP),APS 16-18(SMA),APS 19-24(D3/D4/S1),Laju Pertumbuhan PDB Atas Dasar Harga Konstan 2010,PDB per Kapita Atas Dasar Harga Berlaku (ribu rupiah),Tingkat Pengangguran Terbuka,Provinsi_encoded
2018,Aceh,5281.3,1.96,1.99,91,49.94994995,50.05005005,40.56,59.44,99.86,98.49,82.92,32.59,4.61,29521.0,6.34,0
2018,Bali,4292.2,1.18,1.62,743,50.34756703,49.65243297,50.62,49.38,99.56,97.92,82.35,27.24,6.31,54433.0,1.4,1
2018,Banten,12689.7,2.17,4.79,1313,50.95635115,49.04364885,56.01,43.99,99.39,95.79,68.35,20.42,5.77,48370.0,8.47,2
2018,Bengkulu,1963.3,1.65,0.74,99,50.95635115,49.04364885,31.16,68.84,99.87,97.36,79.33,29.15,4.97,33822.0,3.35,3
2018,DI Yogyakarta,3802.9,1.16,1.43,1214,49.469429,50.530571,45.55,54.45,99.9,99.72,88.39,51.69,6.2,34137.0,3.37,4
2018,DKI Jakarta,10467.6,1.03,3.95,15764,50.0998004,49.9001996,69.85,30.15,99.77,97.77,71.81,24.41,6.11,247678.0,6.65,5
2018,Gorontalo,1185.5,1.59,0.45,105,50.0998004,49.9001996,38.22,61.78,98.76,91.38,70.75,30.58,6.49,31828.0,3.7,6
2018,Indonesia,265015.3,1.33,100.0,138,50.24875622,49.75124378,43.02,56.98,99.22,95.36,71.99,24.4,5.17,59301.44,5.3,7
2018,Jambi,3570.3,1.75,1.35,71,51.0044096,48.9955904,43.55,56.45,99.67,96.14,71.94,22.16,4.69,58225.0,3.73,8
2018,Jawa Barat,48683.7,1.5,18.37,1376,50.64165844,49.35834156,51.79,48.21,99.52,94.15,67.17,21.96,5.65,40273.0,8.23,9
2018,Jawa Tengah,34490.8,0.77,13.01,1052,49.57135653,50.42864347,39.33,60.67,99.76,95.79,69.02,21.92,5.3,36771.0,4.47,10
2018,Jawa Timur,39500.9,0.63,14.91,826,49.36708861,50.63291139,38.12,61.88,99.62,97.02,72.18,22.86,5.47,55411.0,3.91,11
2018,Kalimantan Barat,5001.7,1.58,1.89,34,50.88408644,49.11591356,40.45,59.55,98.43,92.84,68.35,23.86,5.07,38815.0,4.18,12
2018,Kalimantan Selatan,4182.7,1.74,1.58,108,50.73891626,49.26108374,39.92,60.08,99.64,92.43,68.66,23.82,5.08,41046.0,4.35,13
2018,Kalimantan Tengah,2660.2,2.28,1.0,17,52.29007634,47.70992366,47.63,52.37,99.66,93.87,66.95,24.27,5.61,52107.0,3.91,14
2018,Kalimantan Timur,3648.8,2.28,1.38,28,52.4262607,47.5737393,58.84,41.16,99.76,98.89,81.55,29.84,2.64,174165.0,6.41,15
2018,Kalimantan Utara,716.4,3.87,0.27,9,53.05164319,46.94835681,57.05,42.95,98.24,96.38,75.62,23.04,5.36,119414.0,5.11,16
2018,Kepulauan Bangka Belitung,1459.9,2.16,0.55,89,52.01535509,47.98464491,49.57,50.43,99.85,92.7,67.11,15.99,4.45,50082.0,3.61,17
2018,Kepulauan Riau,2136.5,2.95,0.81,260,50.98039216,49.01960784,68.22,31.78,99.52,99.2,83.78,18.24,4.47,116461.0,8.04,18
2018,Lampung,8370.5,1.16,3.16,242,51.2195122,48.7804878,29.21,70.79,99.86,95.0,70.83,20.6,5.23,39716.0,4.04,19
2018,Maluku,1773.8,1.77,0.67,38,50.42141795,49.57858205,35.63,64.37,99.71,97.05,79.12,37.82,5.91,24269.0,6.95,20
2018,Maluku Utara,1232.6,2.11,0.47,39,51.0044096,48.9955904,33.08,66.92,99.08,97.47,76.36,31.36,7.86,29586.0,4.63,21
2018,Nusa Tenggara Barat,5013.7,1.32,1.89,270,48.53319609,51.46680391,28.19,71.81,99.43,97.72,76.89,25.74,-4.5,24706.0,3.58,22
2018,Nusa Tenggara Timur,5371.5,1.67,2.03,110,49.52044422,50.47955578,24.35,75.65,98.28,94.95,74.83,28.27,5.11,18418.0,2.85,23
2018,Papua,3322.5,1.9,1.25,10,52.58416311,47.41583689,21.89,78.11,82.43,80.0,63.48,23.37,7.32,63386.0,3.0,24
2018,Papua Barat,937.5,2.57,0.35,9,52.62908574,47.37091426,45.7,54.3,97.31,97.08,80.81,30.84,6.25,84958.0,6.45,25
2018,Riau,6814.9,2.54,2.57,78,51.29079396,48.70920604,45.05,54.95,99.07,94.95,77.27,27.19,2.35,110385.0,5.98,26
2018,Sulawesi Barat,1355.6,1.92,0.51,81,50.19920319,49.80079681,25.31,74.69,98.25,89.95,68.69,24.1,6.26,32059.0,3.01,27
2018,Sulawesi Selatan,8772.0,1.06,3.31,188,48.87525562,51.12474438,36.68,63.32,99.25,93.13,70.81,33.72,7.04,52642.0,4.94,28
2018,Sulawesi Tengah,3010.4,1.63,1.14,49,51.02840353,48.97159647,33.34,66.66,98.24,92.74,75.05,27.15,20.6,55519.0,3.37,29
2018,Sulawesi Tenggara,2653.7,2.12,1.0,70,50.29821074,49.70178926,36.91,63.09,99.28,94.29,73.47,30.01,6.4,44492.0,3.19,30
2018,Sulawesi Utara,2484.4,1.09,0.94,179,51.02840353,48.97159647,44.39,55.61,99.36,95.0,73.67,21.45,6.0,48105.0,6.61,31
2018,Sumatera Barat,5382.1,1.27,2.03,128,49.82438535,50.17561465,36.06,63.94,99.51,96.37,83.08,33.87,5.14,42803.0,5.66,32
2018,Sumatera Selatan,8370.3,1.41,3.16,91,50.81160846,49.18839154,38.78,61.22,99.71,94.41,69.65,17.15,6.01,50105.0,4.27,33
2018,Sumatera Utara,14415.4,1.27,5.44,198,49.8997996,50.1002004,43.43,56.57,99.5,96.75,77.41,25.31,5.18,51427.0,5.55,34
2019,Aceh,5371.5,1.93,2.0,93,49.97498749,50.02501251,42.88,57.12,99.75,98.52,83.26,32.54,4.14,30879.0,6.17,0
2019,Bali,4336.9,1.17,1.62,750,50.37220844,49.62779156,50.54,49.46,99.74,97.72,82.83,27.86,5.6,57756.0,1.57,1
2019,Banten,12927.3,2.14,4.82,1338,50.93228656,49.06771344,57.86,42.14,99.44,95.79,68.72,21.43,5.26,52014.0,8.11,2
2019,Bengkulu,1991.8,1.63,0.74,100,50.95635115,49.04364885,34.88,65.12,99.77,97.18,79.39,30.71,4.94,36565.0,3.26,3
2019,DI Yogyakarta,3842.9,1.15,1.43,1227,49.49494949,50.50505051,48.36,51.64,99.9,99.56,88.97,51.85,6.59,36460.0,3.18,4
2019,DKI Jakarta,10557.8,1.02,3.94,15900,50.04995005,49.95004995,68.65,31.35,99.63,98.33,72.01,24.52,5.82,268052.0,6.54,5
2019,Gorontalo,1202.6,1.58,0.45,107,50.0998004,49.9001996,41.34,58.66,98.96,91.64,71.44,30.97,6.4,34977.0,3.76,6
2019,Indonesia,268074.6,1.31,100.0,140,50.22399204,49.77600796,44.12,55.88,99.24,95.51,72.36,25.21,5.02,61679.84,5.23,7
2019,Jambi,3624.6,1.72,1.35,72,51.0044096,48.9955904,42.94,57.06,99.7,96.42,71.97,23.32,4.35,60829.0,4.06,8
2019,Jawa Barat,49316.7,1.48,18.4,1394,50.61728395,49.38271605,49.8,50.2,99.53,94.18,67.29,22.71,5.02,43309.0,8.04,9
2019,Jawa Tengah,34718.2,0.76,12.95,1058,49.57135653,50.42864347,42.01,57.99,99.77,96.11,69.65,22.41,5.36,39388.0,4.44,10
2019,Jawa Timur,39698.6,0.62,14.81,831,49.36708861,50.63291139,39.36,60.64,99.65,97.43,72.74,24.8,5.53,59015.0,3.82,11
2019,Kalimantan Barat,5069.1,1.56,1.89,34,50.85995086,49.14004914,39.89,60.11,98.52,92.85,68.37,23.69,5.09,42045.0,4.35,12
2019,Kalimantan Selatan,4244.1,1.71,1.58,110,50.73891626,49.26108374,43.18,56.82,99.53,92.83,69.19,24.34,4.09,42824.0,4.18,13
2019,Kalimantan Tengah,2714.9,2.26,1.01,18,52.31282785,47.68717215,48.98,51.02,99.66,94.09,66.95,23.98,6.12,56625.0,4.04,14
2019,Kalimantan Timur,3721.4,2.24,1.39,29,52.4262607,47.5737393,58.24,41.76,99.68,98.83,81.81,29.89,4.7,180259.0,5.94,15
2019,Kalimantan Utara,742.2,3.84,0.28,10,53.0075188,46.9924812,53.31,46.69,98.82,96.5,76.06,23.11,6.89,138751.0,4.49,16
2019,Kepulauan Bangka Belitung,1488.8,2.14,0.56,91,52.01535509,47.98464491,53.18,46.82,99.76,92.87,67.79,17.01,3.32,52233.0,3.58,17
2019,Kepulauan Riau,2189.7,2.9,0.82,267,50.95635115,49.04364885,70.43,29.57,99.48,98.5,84.04,18.98,4.83,119395.0,7.5,18
2019,Lampung,8447.7,1.13,3.15,244,51.19570522,48.80429478,31.51,68.49,99.8,94.89,71.05,20.69,5.26,42172.0,4.03,19
2019,Maluku,1802.9,1.75,0.67,38,50.3968254,49.6031746,38.02,61.98,99.61,97.29,79.65,38.58,5.41,26097.0,6.69,20
2019,Maluku Utara,1255.8,2.08,0.47,39,50.98039216,49.01960784,38.31,61.69,98.97,96.97,76.41,31.23,6.25,32125.0,4.81,21
2019,Nusa Tenggara Barat,5070.4,1.29,1.89,273,48.55967078,51.44032922,28.98,71.02,99.46,97.92,77.51,25.59,3.9,25716.0,3.28,22
2019,Nusa Tenggara Timur,5456.2,1.66,2.04,112,49.52044422,50.47955578,27.74,72.26,98.47,95.11,75.36,29.27,5.25,19630.0,3.14,23
2019,Papua,3379.3,1.88,1.26,11,52.51661918,47.48338082,20.71,79.29,82.67,80.13,63.5,22.91,-15.74,56619.0,3.51,24
2019,Papua Barat,959.6,2.55,0.36,9,52.60663507,47.39336493,47.75,52.25,97.68,96.58,81.49,31.48,2.66,87542.0,6.43,25
2019,Riau,6971.7,2.52,2.6,80,51.26705653,48.73294347,47.78,52.22,99.36,95.37,77.29,28.16,2.81,111227.0,5.76,26
2019,Sulawesi Barat,1380.3,1.91,0.51,82,50.19920319,49.80079681,28.09,71.91,98.34,89.92,69.31,23.64,5.56,34112.0,2.98,27
2019,Sulawesi Selatan,8851.2,1.05,3.3,189,48.87525562,51.12474438,39.45,60.55,99.23,93.22,70.85,34.44,6.91,57182.0,4.62,28
2019,Sulawesi Tengah,3054.0,1.61,1.14,49,51.02840353,48.97159647,37.03,62.97,98.4,93.01,75.73,27.39,8.83,61056.0,3.11,29
2019,Sulawesi Tenggara,2704.7,2.1,1.01,71,50.29821074,49.70178926,37.45,62.55,99.13,94.78,74.03,31.27,6.5,48514.0,3.52,30
2019,Sulawesi Utara,2507.0,1.07,0.94,181,51.0044096,48.9955904,45.19,54.81,99.39,95.18,74.04,22.55,5.65,52173.0,6.01,31
2019,Sumatera Barat,5441.2,1.25,2.03,130,49.84954865,50.15045135,37.87,62.13,99.52,96.23,83.63,35.66,5.01,44886.0,5.38,32
2019,Sumatera Selatan,8470.7,1.39,3.16,92,50.81160846,49.18839154,39.48,60.52,99.71,94.51,70.29,18.07,5.69,53359.0,4.53,33
2019,Sumatera Utara,14562.5,1.24,5.43,200,49.8997996,50.1002004,45.0,55.0,99.41,96.89,77.67,25.75,5.22,54620.0,5.39,34
2020,Aceh,5274.9,1.56,1.95,91,50.19920319,49.80079681,38.12,61.88,99.84,98.49,83.27,32.5,-0.37,31633.0,6.59,0
2020,Bali,4317.4,1.01,1.6,747,50.29821074,49.70178926,43.31,56.69,99.57,98.21,82.96,28.67,-9.34,52015.0,5.63,1
2020,Banten,11904.6,1.1,4.41,1232,50.98039216,49.01960784,50.83,49.17,99.4,95.77,68.76,21.6,-3.39,52729.0,10.64,2
2020,Bengkulu,2010.7,1.55,0.74,101,51.171875,48.828125,30.77,69.23,99.78,97.49,79.72,29.99,-0.02,36552.0,4.07,3
2020,DI Yogyakarta,3668.7,0.58,1.36,1171,49.54591322,50.45408678,42.59,57.41,99.89,99.45,88.95,51.81,-2.67,37694.0,4.57,4
2020,DKI Jakarta,10562.1,0.92,3.91,15907,50.51954478,49.48045522,61.78,38.22,99.64,98.34,72.11,25.01,-2.39,262615.0,10.95,5
2020,Gorontalo,1171.7,1.16,0.43,104,50.47052997,49.52947003,37.88,62.12,98.92,91.8,71.43,31.04,-0.02,35693.0,4.28,6
2020,Indonesia,270203.9,1.25,100.0,141,50.56846268,49.43153732,39.53,60.47,99.26,95.74,72.72,25.56,-2.07,59935.68,7.07,7
2020,Jambi,3548.2,1.34,1.31,71,51.0044096,48.9955904,37.26,62.74,99.82,96.41,72.37,23.75,-0.51,57958.0,5.13,8
2020,Jawa Barat,48274.2,1.11,17.87,1365,50.76317085,49.23682915,44.41,55.59,99.66,94.45,67.74,22.84,-2.52,43237.0,10.46,9
2020,Jawa Tengah,36516.0,1.17,13.51,1113,50.27349577,49.72650423,37.25,62.75,99.73,96.37,70.14,22.41,-2.65,36965.0,6.48,10
2020,Jawa Timur,40665.7,0.79,15.05,851,49.8997996,50.1002004,36.36,63.64,99.54,97.68,73.05,25.81,-2.33,56641.0,5.84,11
2020,Kalimantan Barat,5414.4,2.04,2.0,37,51.40913508,48.59086492,36.99,63.01,98.6,92.9,68.96,24.05,-1.82,39622.0,5.81,12
2020,Kalimantan Selatan,4073.6,1.13,1.51,105,50.61728395,49.38271605,39.18,60.82,99.48,93.04,69.38,24.63,-1.82,44101.0,4.74,13
2020,Kalimantan Tengah,2670.0,1.84,0.99,17,51.8999519,48.1000481,44.2,55.8,99.49,94.86,66.92,24.26,-1.41,57145.0,4.58,14
2020,Kalimantan Timur,3766.0,2.13,1.39,29,52.08433158,47.91566842,52.86,47.14,99.73,99.07,81.88,29.71,-2.9,161799.0,6.87,15
2020,Kalimantan Utara,701.8,2.86,0.26,9,52.80792827,47.19207173,49.07,50.93,98.94,96.52,76.08,23.82,-1.09,143533.0,4.97,16
2020,Kepulauan Bangka Belitung,1455.7,1.7,0.54,89,51.47986414,48.52013586,47.07,52.93,99.7,93.34,67.75,17.47,-2.29,52023.0,5.25,17
2020,Kepulauan Riau,2064.6,2.02,0.76,252,51.02840353,48.97159647,64.59,35.41,99.55,98.82,84.62,19.71,-3.8,123465.0,10.34,18
2020,Lampung,9007.8,1.65,3.33,260,51.24329595,48.75670405,27.74,72.26,99.74,95.24,71.34,21.04,-1.66,39290.0,4.67,19
2020,Maluku,1848.9,1.83,0.68,39,50.64165844,49.35834156,33.44,66.56,99.5,97.43,79.87,38.59,-0.91,25094.0,7.57,20
2020,Maluku Utara,1282.9,2.07,0.47,40,51.24329595,48.75670405,33.87,66.13,99.04,97.15,76.83,31.36,5.39,33069.0,5.15,21
2020,Nusa Tenggara Barat,5320.1,1.63,1.97,286,49.92488733,50.07511267,26.53,73.47,99.52,98.32,77.64,25.97,-0.62,25184.0,4.22,22
2020,Nusa Tenggara Timur,5325.6,1.25,1.97,109,50.02498751,49.97501249,23.9,76.1,98.57,95.25,75.52,29.52,-0.84,20057.0,4.28,23
2020,Papua,4303.7,4.13,1.59,13,53.3146592,46.6853408,20.08,79.92,82.99,80.48,64.83,23.23,2.39,46416.0,4.28,24
2020,Papua Barat,1134.1,3.94,0.42,11,52.65151515,47.34848485,42.02,57.98,97.89,96.87,81.51,31.52,-0.76,73933.0,6.8,25
2020,Riau,6394.1,1.4,2.37,73,51.24329595,48.75670405,44.03,55.97,99.53,95.53,77.42,28.35,-1.13,114167.0,6.32,26
2020,Sulawesi Barat,1419.2,1.98,0.53,85,50.73891626,49.26108374,27.37,72.63,98.33,90.07,69.84,23.24,-2.34,32837.0,3.32,27
2020,Sulawesi Selatan,9073.5,1.18,3.36,194,49.64753273,50.35246727,35.78,64.22,99.25,93.34,70.89,34.51,-0.71,55675.0,6.31,28
